sample_id,clone_id,nb_cells,nb_cells_per_sample,pct_cells
SA535X4XB02498_mouseM4_Primary,A,3,635,0.5
SA535X4XB02498_mouseM4_Primary,C,396,635,62.4
SA535X4XB02498_mouseM4_Primary,D,9,635,1.4
SA535X4XB02498_mouseM4_Primary,G,36,635,5.7
SA535X4XB02498_mouseM4_Primary,H,6,635,0.9
SA535X4XB02498_mouseM4_Primary,I,72,635,11.3
SA535X4XB02498_mouseM4_Primary,J,3,635,0.5
SA535X4XB02498_mouseM4_Primary,K,6,635,0.9
SA535X4XB02498_mouseM4_Primary,M,24,635,3.8
SA535X4XB02498_mouseM4_Primary,N,18,635,2.8
SA535X4XB02498_mouseM4_Primary,P,5,635,0.8
SA535X4XB02498_mouseM4_Primary,Q,1,635,0.2
SA535X4XB02498_mouseM4_Primary,R,32,635,5
SA535X4XB02498_mouseM4_Primary,S,22,635,3.5
SA535X4XB02498_mouseM4_Primary,T,2,635,0.3
SA535X4XB05391_mouseM1_Primary,A,10,322,3.1
SA535X4XB05391_mouseM1_Primary,C,55,322,17.1
SA535X4XB05391_mouseM1_Primary,D,74,322,23
SA535X4XB05391_mouseM1_Primary,F,7,322,2.2
SA535X4XB05391_mouseM1_Primary,G,27,322,8.4
SA535X4XB05391_mouseM1_Primary,H,2,322,0.6
SA535X4XB05391_mouseM1_Primary,I,8,322,2.5
SA535X4XB05391_mouseM1_Primary,K,3,322,0.9
SA535X4XB05391_mouseM1_Primary,M,6,322,1.9
SA535X4XB05391_mouseM1_Primary,N,6,322,1.9
SA535X4XB05391_mouseM1_Primary,P,4,322,1.2
SA535X4XB05391_mouseM1_Primary,R,104,322,32.3
SA535X4XB05391_mouseM1_Primary,S,12,322,3.7
SA535X4XB05391_mouseM1_Primary,T,4,322,1.2
SA535X4XB05462_mouseM3_Primary,A,69,272,25.4
SA535X4XB05462_mouseM3_Primary,B,5,272,1.8
SA535X4XB05462_mouseM3_Primary,C,20,272,7.4
SA535X4XB05462_mouseM3_Primary,D,1,272,0.4
SA535X4XB05462_mouseM3_Primary,G,1,272,0.4
SA535X4XB05462_mouseM3_Primary,H,109,272,40.1
SA535X4XB05462_mouseM3_Primary,I,18,272,6.6
SA535X4XB05462_mouseM3_Primary,L,1,272,0.4
SA535X4XB05462_mouseM3_Primary,M,14,272,5.1
SA535X4XB05462_mouseM3_Primary,N,27,272,9.9
SA535X4XB05462_mouseM3_Primary,P,1,272,0.4
SA535X4XB05462_mouseM3_Primary,S,6,272,2.2
SA535X4XB05649_mouseM2_Primary,I,105,718,14.6
SA535X4XB05649_mouseM2_Primary,J,4,718,0.6
SA535X4XB05649_mouseM2_Primary,K,5,718,0.7
SA535X4XB05649_mouseM2_Primary,L,3,718,0.4
SA535X4XB05649_mouseM2_Primary,M,19,718,2.6
SA535X4XB05649_mouseM2_Primary,N,150,718,20.9
SA535X4XB05649_mouseM2_Primary,P,13,718,1.8
SA535X4XB05649_mouseM2_Primary,Q,88,718,12.3
SA535X4XB05649_mouseM2_Primary,R,18,718,2.5
SA535X4XB05649_mouseM2_Primary,S,284,718,39.6
SA535X4XB05649_mouseM2_Primary,T,29,718,4
SA535X4XB05667_mouseM3_Metastasis,A,4,105,3.8
SA535X4XB05667_mouseM3_Metastasis,B,101,105,96.2
SA535X4XB05723_mouseM1_Metastasis,A,4,120,3.3
SA535X4XB05723_mouseM1_Metastasis,D,1,120,0.8
SA535X4XB05723_mouseM1_Metastasis,E,49,120,40.8
SA535X4XB05723_mouseM1_Metastasis,F,21,120,17.5
SA535X4XB05723_mouseM1_Metastasis,G,3,120,2.5
SA535X4XB05723_mouseM1_Metastasis,H,42,120,35
SA535X4XB05989_mouseM4_Metastasis,I,4,350,1.1
SA535X4XB05989_mouseM4_Metastasis,K,161,350,46
SA535X4XB05989_mouseM4_Metastasis,L,168,350,48
SA535X4XB05989_mouseM4_Metastasis,M,7,350,2
SA535X4XB05989_mouseM4_Metastasis,N,4,350,1.1
SA535X4XB05989_mouseM4_Metastasis,Q,1,350,0.3
SA535X4XB05989_mouseM4_Metastasis,R,2,350,0.6
SA535X4XB05989_mouseM4_Metastasis,S,3,350,0.9
SA535X4XB09106_mouseM2_Metastasis,I,1,347,0.3
SA535X4XB09106_mouseM2_Metastasis,M,10,347,2.9
SA535X4XB09106_mouseM2_Metastasis,N,27,347,7.8
SA535X4XB09106_mouseM2_Metastasis,O,283,347,81.6
SA535X4XB09106_mouseM2_Metastasis,P,5,347,1.4
SA535X4XB09106_mouseM2_Metastasis,Q,3,347,0.9
SA535X4XB09106_mouseM2_Metastasis,S,12,347,3.5
SA535X4XB09106_mouseM2_Metastasis,T,6,347,1.7
SA535X4XB09109_mouseM2_Metastasis,I,9,250,3.6
SA535X4XB09109_mouseM2_Metastasis,J,10,250,4
SA535X4XB09109_mouseM2_Metastasis,K,1,250,0.4
SA535X4XB09109_mouseM2_Metastasis,M,3,250,1.2
SA535X4XB09109_mouseM2_Metastasis,N,13,250,5.2
SA535X4XB09109_mouseM2_Metastasis,P,80,250,32
SA535X4XB09109_mouseM2_Metastasis,Q,6,250,2.4
SA535X4XB09109_mouseM2_Metastasis,R,1,250,0.4
SA535X4XB09109_mouseM2_Metastasis,S,31,250,12.4
SA535X4XB09109_mouseM2_Metastasis,T,96,250,38.4
SA535X4XB09113_mouseM2_Metastasis,I,8,418,1.9
SA535X4XB09113_mouseM2_Metastasis,J,99,418,23.7
SA535X4XB09113_mouseM2_Metastasis,K,1,418,0.2
SA535X4XB09113_mouseM2_Metastasis,L,2,418,0.5
SA535X4XB09113_mouseM2_Metastasis,M,14,418,3.3
SA535X4XB09113_mouseM2_Metastasis,N,13,418,3.1
SA535X4XB09113_mouseM2_Metastasis,O,1,418,0.2
SA535X4XB09113_mouseM2_Metastasis,P,126,418,30.1
SA535X4XB09113_mouseM2_Metastasis,Q,29,418,6.9
SA535X4XB09113_mouseM2_Metastasis,R,14,418,3.3
SA535X4XB09113_mouseM2_Metastasis,S,97,418,23.2
SA535X4XB09113_mouseM2_Metastasis,T,14,418,3.3
